PROVINCE,PRICE,TYPE,YEAR,MONTH,DAY,INFLATION_RATE
تهران,102500.0,گوسفند,1392,2,23,34
تهران,105000.0,گوساله,1392,2,23,34
اصفهان,100000.0,گوسفند,1392,2,23,34
اصفهان,100000.0,گوساله,1392,2,23,34
يزد,107500.0,گوسفند,1392,2,23,34
يزد,97500.0,گوساله,1392,2,23,34
خراسان رضوی,102500.0,گوسفند,1392,2,23,34
خراسان رضوی,102500.0,گوساله,1392,2,23,34
فارس,105000.0,گوسفند,1392,2,23,34
فارس,100000.0,گوساله,1392,2,23,34
تهران,102500.0,گوسفند,1392,1,27,32.3
تهران,102500.0,گوساله,1392,1,27,32.3
اصفهان,102500.0,گوسفند,1392,1,27,32.3
اصفهان,102500.0,گوساله,1392,1,27,32.3
يزد,107500.0,گوسفند,1392,1,27,32.3
يزد,97500.0,گوساله,1392,1,27,32.3
خراسان رضوی,107500.0,گوسفند,1392,1,27,32.3
خراسان رضوی,108500.0,گوساله,1392,1,27,32.3
فارس,102500.0,گوسفند,1392,1,27,32.3
فارس,97500.0,گوساله,1392,1,27,32.3
تهران,102500.0,گوسفند,1392,2,25,34
تهران,105000.0,گوساله,1392,2,25,34
اصفهان,100000.0,گوسفند,1392,2,25,34
اصفهان,100000.0,گوساله,1392,2,25,34
يزد,107500.0,گوسفند,1392,2,25,34
يزد,97500.0,گوساله,1392,2,25,34
خراسان رضوی,102500.0,گوسفند,1392,2,25,34
خراسان رضوی,102500.0,گوساله,1392,2,25,34
فارس,105000.0,گوسفند,1392,2,25,34
فارس,100000.0,گوساله,1392,2,25,34
تهران,102500.0,گوسفند,1392,2,11,34
تهران,112500.0,گوساله,1392,2,11,34
اصفهان,102500.0,گوسفند,1392,2,11,34
اصفهان,102500.0,گوساله,1392,2,11,34
يزد,107500.0,گوسفند,1392,2,11,34
يزد,97500.0,گوساله,1392,2,11,34
خراسان رضوی,107500.0,گوسفند,1392,2,11,34
خراسان رضوی,107500.0,گوساله,1392,2,11,34
فارس,107500.0,گوسفند,1392,2,11,34
فارس,97500.0,گوساله,1392,2,11,34
تهران,107500.0,گوسفند,1392,1,21,32.3
تهران,112500.0,گوساله,1392,1,21,32.3
اصفهان,107500.0,گوسفند,1392,1,21,32.3
اصفهان,102500.0,گوساله,1392,1,21,32.3
يزد,112500.0,گوسفند,1392,1,21,32.3
يزد,102500.0,گوساله,1392,1,21,32.3
خراسان رضوی,112500.0,گوسفند,1392,1,21,32.3
خراسان رضوی,107500.0,گوساله,1392,1,21,32.3
فارس,107500.0,گوسفند,1392,1,21,32.3
فارس,107500.0,گوساله,1392,1,21,32.3
تهران,102500.0,گوسفند,1392,2,2,34
تهران,112500.0,گوساله,1392,2,2,34
اصفهان,105500.0,گوسفند,1392,2,2,34
اصفهان,102500.0,گوساله,1392,2,2,34
يزد,107500.0,گوسفند,1392,2,2,34
يزد,97500.0,گوساله,1392,2,2,34
خراسان رضوی,107500.0,گوسفند,1392,2,2,34
خراسان رضوی,107500.0,گوساله,1392,2,2,34
فارس,107500.0,گوسفند,1392,2,2,34
فارس,97500.0,گوساله,1392,2,2,34
تهران,102500.0,گوسفند,1392,2,1,34
تهران,112500.0,گوساله,1392,2,1,34
اصفهان,105500.0,گوسفند,1392,2,1,34
اصفهان,102500.0,گوساله,1392,2,1,34
يزد,107500.0,گوسفند,1392,2,1,34
يزد,97500.0,گوساله,1392,2,1,34
خراسان رضوی,107500.0,گوسفند,1392,2,1,34
خراسان رضوی,107500.0,گوساله,1392,2,1,34
فارس,107500.0,گوسفند,1392,2,1,34
فارس,97500.0,گوساله,1392,2,1,34
تهران,102500.0,گوسفند,1392,1,24,32.3
تهران,102500.0,گوساله,1392,1,24,32.3
اصفهان,102500.0,گوسفند,1392,1,24,32.3
اصفهان,102500.0,گوساله,1392,1,24,32.3
يزد,107500.0,گوسفند,1392,1,24,32.3
يزد,102500.0,گوساله,1392,1,24,32.3
